posting_title,price,rooms,sqm,toilets,floor,link,location,tipologie,city
"Villa unifamiliare via Emilio Praga, Talenti - Monte Sacro, Roma",1410000.0,5+,521.0,3+,5+,https://www.immobiliare.it/annunci/103048014/,Talenti - Monte Sacro,na,Roma
"Quadrilocale via Mascagni, Africano - Villa Chigi, Roma",950000.0,4,201.0,3,4,https://www.immobiliare.it/annunci/101697031/,Africano - Villa Chigi,na,Roma
"Attico via Copenaghen, Torrino, Roma",2390000.0,5,318.0,3+,5,https://www.immobiliare.it/annunci/101318797/,Torrino,na,Roma
"Trilocale via Montecassiano 78, San Basilio, Roma",269000.0,3,116.0,1,3,https://www.immobiliare.it/annunci/100404408/,San Basilio,na,Roma
"Villa plurifamiliare via Carlo Calcaterra, Infernetto, Roma",239000.0,4,139.0,3,4,https://www.immobiliare.it/annunci/69399948/,Infernetto,na,Roma
"Attico via Lorenzo il Magnifico, Bologna, Roma",730000.0,4,122.0,2,4,https://www.immobiliare.it/annunci/103675032/,Bologna,na,Roma
"Appartamento via Chiusi, Nuovo Salario, Roma",535000.0,5+,130.0,2,5+,https://www.immobiliare.it/annunci/103407114/,Nuovo Salario,na,Roma
"Bilocale via Raoul Chiodelli, 208, Ponte di Nona, Roma",110000.0,2,47.0,1,2,https://www.immobiliare.it/annunci/103382792/,Ponte di Nona,na,Roma
"Trilocale via Goffredo Ciaralli 100, San Basilio, Roma",285000.0,3,105.0,2,3,https://www.immobiliare.it/annunci/103350822/,San Basilio,na,Roma
"Appartamento piazza Cola di Rienzo, Prati, Roma",2300000.0,5+,378.0,3,5+,https://www.immobiliare.it/annunci/102761470/,Prati,na,Roma
"Appartamento via Cassia, Cassia - San Godenzo, Roma",650000.0,5+,211.0,3,5+,https://www.immobiliare.it/annunci/102415436/,Cassia - San Godenzo,na,Roma
